antecedents,consequents,support,support_count,confidence,lift,leverage,conviction,antecedent_len,score
"keyboard, monitor",desktop,0.12209153669138328,955,0.9607645875251509,4.513573936109148,0.0950416781049013,20.061948875295855,2,0.8493561283880989
"monitor, mouse",desktop,0.11723344413193557,917,0.9592050209205021,4.506247251435536,0.0912176847670696,19.294993083282517,2,0.8412371401310902
headphone,smartphone,0.3050370749169011,2386,0.9445764053840063,2.459546152767542,0.18101538312076798,11.113588048361763,1,0.7967035429802746
monitor,desktop,0.17412426489388902,1362,0.8775773195876289,4.122768644933593,0.13188947563209824,6.4296814652330125,1,0.7712706996120531
desktop,monitor,0.17412426489388902,1362,0.818018018018018,4.122768644933593,0.13188947563209824,4.404750753776477,1,0.737353589134382
"desktop, keyboard",monitor,0.12209153669138328,955,0.8626919602529358,4.347923011017052,0.09401110923624671,5.837861160828431,2,0.728216066676707
"desktop, mouse",monitor,0.11723344413193557,917,0.8594189315838799,4.331427115237828,0.09016766626867384,5.701943237023776,2,0.7219476976914525
"clocks, headphone",smartphone,0.11787266683712605,922,0.9644351464435146,2.5112555644078465,0.07093492441546997,17.319205258170737,2,0.7013003989157255
smartphone,headphone,0.3050370749169011,2386,0.7942743009320906,2.4595461527675426,0.18101538312076798,3.291104088625643,1,0.6975910558296576
notebook,mouse,0.29378675530554843,2298,0.8266187050359711,1.837922544284072,0.1339395646721763,3.1736001553231588,1,0.6612498056634875
clocks,smartphone,0.1807721810278701,1414,0.8926767676767675,2.3244066833447654,0.10300085885642321,5.739251282205535,1,0.658697504388192
mouse,notebook,0.29378675530554843,2298,0.6532120523024445,1.8379225442840723,0.1339395646721763,1.8587502252998056,1,0.5853331954089241
keyboard,mouse,0.2654052671950908,2076,0.717098445595855,1.594412746290727,0.09894569277652521,1.9449978130622474,1,0.5765239440688548
"keyboard, notebook",mouse,0.1653029915622603,1293,0.7860182370820669,1.7476505544218097,0.07071715393927572,2.5714476650937916,2,0.5367667107135142
mouse,keyboard,0.2654052671950908,2076,0.5901080159181353,1.594412746290727,0.09894569277652521,1.5367220588751596,1,0.5236926969579438
notebook,keyboard,0.21030427000767069,1645,0.591726618705036,1.5987860488811023,0.07876429931875303,1.5428144046443049,1,0.488533772548414
desktop,keyboard,0.14152390692917413,1107,0.664864864864865,1.796398263548523,0.06274187412448065,1.8795106440890461,1,0.48750548643789104
"desktop, monitor",keyboard,0.12209153669138328,955,0.7011747430249634,1.8945039170781568,0.05764641436105744,2.1078875998333944,2,0.4819475150174718
keyboard,notebook,0.21030427000767069,1645,0.5682210708117444,1.5987860488811025,0.07876429931875303,1.4928754794170291,1,0.47888262979181156
smartphone,clocks,0.1807721810278701,1414,0.4707057256990679,2.3244066833447654,0.10300085885642321,1.506712401242102,1,0.46881174103685164
"keyboard, mouse",notebook,0.1653029915622603,1293,0.6228323699421966,1.752444171830166,0.07097588304751314,1.7090336618105337,2,0.46751222241133994
"clocks, smartphone",headphone,0.11787266683712605,922,0.652050919377652,2.0191378825700688,0.059494946397801084,1.9458729079747965,2,0.4670082208124237
monitor,keyboard,0.1270774737918691,994,0.6404639175257733,1.730469348147357,0.053642209579926575,1.7519522640397593,1,0.4632553225957767
"desktop, mouse",keyboard,0.09537202761442086,746,0.6991565135895031,1.8890508633150582,0.044885283468710374,2.0937466893839636,2,0.46318843336978766
clocks,headphone,0.12221938123242138,956,0.6035353535353535,1.868904804177963,0.05682312297507289,1.7077555221513057,1,0.45427962378202613
desktop,mouse,0.13641012528765023,1067,0.6408408408408409,1.4248598797774468,0.040674307875936344,1.5320308297752079,1,0.4481162151287532
"monitor, mouse",keyboard,0.08361032983891588,654,0.6841004184100419,1.8483708023500338,0.038375721213518295,1.9939565938150337,2,0.44625308612457265
"desktop, monitor",mouse,0.11723344413193557,917,0.6732745961820852,1.496973817889787,0.038919820519470516,1.6841142384343786,2,0.43906757943150737
"mouse, notebook",keyboard,0.1653029915622603,1293,0.5626631853785902,1.5202595633959697,0.05656959133091759,1.4402859138213309,2,0.4266725360810057
"desktop, keyboard",mouse,0.09537202761442086,746,0.6738934056007226,1.4983496926119535,0.03172064630825433,1.6873099596209569,2,0.4250888688554521
monitor,mouse,0.12221938123242138,956,0.615979381443299,1.3695823540788756,0.03298094962702802,1.432847295272841,1,0.4246988843374726
"keyboard, monitor",mouse,0.08361032983891588,654,0.6579476861167002,1.462895622741566,0.026456334339069867,1.6086513152947193,2,0.4082503545320819
keyboard,desktop,0.14152390692917413,1107,0.3823834196891192,1.7963982635485227,0.06274187412448065,1.2744781540277894,1,0.3714970872535917
headphone,clocks,0.12221938123242138,956,0.37846397466349957,1.868904804177963,0.05682312297507289,1.2831022088605224,1,0.36213436205756633
"headphone, smartphone",clocks,0.11787266683712605,922,0.3864207879295892,1.908196592919979,0.05610090428683567,1.2997413069205113,2,0.3501616428169573
keyboard,monitor,0.1270774737918691,994,0.34335060449050087,1.7304693481473568,0.053642209579926575,1.2207203384188245,1,0.34176203965371693
mouse,desktop,0.13641012528765023,1067,0.30329732802728826,1.4248598797774468,0.040674307875936344,1.129805971524102,1,0.3110938958210096
"keyboard, mouse",desktop,0.09537202761442086,746,0.35934489402697495,1.6881656222696686,0.03887755434929351,1.2286467895640405,2,0.30959956886199913
mouse,monitor,0.12221938123242138,956,0.2717453098351336,1.3695823540788759,0.03298094962702802,1.1006935940603488,1,0.2853496154407239
"keyboard, mouse",monitor,0.08361032983891588,654,0.315028901734104,1.587729426136702,0.030950016020610982,1.1702468532441765,2,0.2771948127265019
